,Headline,Content,URL
0,JAY'S LAST JOURNEY, Jay Slater's family vow to give teen 'send off he deserves' at funeral ,https://www.thesun.co.uk/news/29780718/jay-slater-funeral-family-blue-rose/
1,SHE SAID YES, Adele finally confirms her engagement to Rich Paul & reveals ring,https://www.thesun.co.uk/tvandshowbiz/29794196/adele-finally-confirms-engagement-rich-paul/
2,LET'S FACE IT," Body part that Brits find sexiest revealed...and it isn't boobs, bums or legs",https://www.thesun.co.uk/fabulous/29794915/eye-sexiest-feature-body-part/
3,IN THE BIN, Riot bin ladies jailed for nearly five years in total as yob duo are locked up,https://www.thesun.co.uk/news/29795895/riot-bin-ladies-jailed-for-nearly-five-years/
4,GIVE IT ALL BACK," Huw Edwards must pay back every penny, demand whistleblower's family",https://www.thesun.co.uk/news/29793685/huw-edwards-pay-back-victims-family/
5,BRAZEN DASH, Moment 'dine and dash' couple 'leave restaurant without paying for £120 meal',https://www.thesun.co.uk/news/29794094/dine-dash-restaurant-burger-meal-paying-video/
6,SHOCK SIGHTING, Train passengers stunned as they spot Hollywood star travelling to Edinburgh,https://www.thesun.co.uk/tv/29791546/train-passengers-gobsmacked-margot-robbie-travelling-edinburgh/
7,CREEPY CRAWLIES, Spiders the size of rats invade UK in their thousands as homeowners warned,https://www.thesun.co.uk/tech/29793985/spiders-size-rats-thousands-uk-homeowners-urgent-warning/
8,MERCY MUROKI, Jail is only answer for Katie… she was a fun poster girl but she's a car crash,https://www.thesun.co.uk/tvandshowbiz/29793010/katie-price-jail-mercy-muroki/
9,'LOCK ME UP', Katie Price tells pals she wants to go to prison to make more cash behind bars,https://www.thesun.co.uk/tvandshowbiz/29795809/katie-price-prison-cash/
10,HUGE BLAZE, Enormous fire hits town as residents evacuated and 15 fire engines rush to scene,https://www.thesun.co.uk/news/29795159/fire-blaze-crewe-smoke-road-closure-building/
11,PRO SHOW, Strictly's female pros strip down to their underwear for group pamper session ,https://www.thesun.co.uk/tv/29796320/strictlys-female-pros-strips-down-pamper-session/
12,TERROR STRIKE, Israel bombs 'Hamas HQ' hidden in school as Gaza claims up to 100 dead ,https://www.thesun.co.uk/news/29797228/israeli-airstrike-kills-school-palestinian-gaza/
13,HORROR CRASH, Plane crashes leaving 61 dead as chilling footage shows it dropping out of sky,https://www.thesun.co.uk/news/26326691/brazil-plane-crash-footage-spiral-ground-drop/
14,THE SUN SAYS, Sickened public will agree with family who demand Huw Edwards pay back salary,https://www.thesun.co.uk/news/29795772/huw-edwards-family-repay-salary-sun-says/
15,DEAR DEIDRE, I fear my long-distance girlfriend is cheating on me with her best mate,https://www.thesun.co.uk/dear-deidre/29789743/fear-long-distance-girlfriend-cheating/
16,SWEET FREEBIE, Shoppers can snap up FREE Cadbury's chocolate selection box worth £15 ,https://www.thesun.co.uk/shopping/29718111/claim-free-cadburys-double-deck-chocolate-selection-box/
17,RIVALS," Man Utd vs Man City preview: Best free betting tips, odds and predictions",https://www.thesun.co.uk/sport/29711783/man-utd-man-city-free-football-betting-tips-prediction/
18,THE TERMINATOR, Team GB hero Roberts honed his skills on a climbing wall built by his dad,https://www.thesun.co.uk/sport/29786654/meet-toby-roberts-climbing-gold-medal-paris-2024/
19,WIN PEAKS, Team GB climbing ace Roberts 'in shock' but plans wild party after Paris gold joy,https://www.thesun.co.uk/sport/29795708/team-gb-toby-roberts-olympics-sport-climbing-gold/
20,WALK THE WALK," Bizarre moment race leader WALKS OFF in middle of Olympics 10,000m final",https://www.thesun.co.uk/sport/29793942/rahel-daniel-olympics-final-bbc/
21,'OUR PRIDE', BBC pundit fights back tears in tribute to Johnson-Thompson for Olympic silver ,https://www.thesun.co.uk/sport/29793602/katarina-johnson-thompson-olympic-silver-jazmin-sawyers-bbc-tribute/
22,GAMES ON," Day 15 schedule and highlights as Muir goes for gold, Team USA in basketball final",https://www.thesun.co.uk/sport/29409625/whats-on-olympics-schedule-today-paris-2024/
23,MEDAL MENDERS, Paris Olympics vow to REPLACE medals after athlete reveals battered bronze,https://www.thesun.co.uk/sport/29791102/red-faced-paris-olympics-replace-tarnished-medals/
24,WELCOME HOME, BBC announce Team GB celebration after Paris Olympics will be shown live on TV,https://www.thesun.co.uk/sport/29797310/bbc-paris-olympics-2024-team-gb-homecoming-announced/
25,MEDAL TIME, Team GB are forced to settle for silver in the 4x100 metre women's relay,https://www.thesun.co.uk/sport/29794832/olympics-team-gb-100m-relays-women-silver-men-bronze/
26,SOLID GOLD, Gender row boxer Khelif WINS controversial gold in Paris after points victory,https://www.thesun.co.uk/sport/29705949/olympics-2024-live-imane-khelif-boxing-updates/
27,PLOT THREAT, UK chemical terror alert over 'suspicious activity' after Swift plot foiled ,https://www.thesun.co.uk/news/29794389/uk-chemical-terror-alert-taylor-swift-austria/
28,KAM ON, Moment Kamala Harris suffers Biden-style gaffe while taking to rally stage,https://www.thesun.co.uk/news/29797327/kamala-harris-tim-walz-phoeniz-arizona-rally/
29,COSY CHOICE, Adjustamatic provides a range of beds with adjustable settings for full comfort,https://www.thesun.co.uk/shopping/25050051/adjustamatic-range-of-beds-with-adjustable-settings/
30,LEO MCKINSTRY, Riots have exposed fractures in society… PM must tackle 3 contentious areas,https://www.thesun.co.uk/news/29793700/leo-mckinstry-uk-riots-labour/
31,ROYAL APPROVAL, King Charles 'encouraged' by response of Brits to rioters as he thanks cops,https://www.thesun.co.uk/royals/29790928/king-charles-encouraged-response-of-brits-rioters/
32,READY FOR TROUBLE, Cops given special powers to tackle riots over fears of MORE chaos,https://www.thesun.co.uk/news/29661820/violence-britain-protesters-clash-chaotic-riots/
33,CHOCS AWAY, Sporty Crunchie fan to romantic Caramac lover... what fave choc says about you,https://www.thesun.co.uk/fabulous/29794299/favourite-chocolate-bar-personality/
34,NOT SO ROSIE, Helen Flanagan reveals she’s refusing to SPEAK to ex Scott Sinclair ,https://www.thesun.co.uk/tv/29793374/helen-flanagan-refusing-to-speak-to-scott-sinclair/
35,CITY BREAK, Title or relegation? Our experts discuss what may happen to Man City this season,https://www.thesun.co.uk/sport/29777388/champions-relegation-man-city-premier-league-season/
36,INES WINS SILVA, Bernardo Silva's WAG Ines wows in bikini on beach ahead of Man City match,https://www.thesun.co.uk/sport/29795115/ines-tomaz-bikini-bernardo-silva-man-city/
37,START THE CAR, Lee Carsley named interim England manager as he succeeds Gareth Southgate,https://www.thesun.co.uk/sport/29785884/lee-carsley-named-interim-england-manager/
38,GROUNDBREAKING, Amazing video shows how close Everton's £760m new stadium is to completion,https://www.thesun.co.uk/sport/29782565/everton-stadium-sean-dyche/
39,ROLEY," Win a stunning Rolex or £12,500 cash alternative from just 76p with our discount",https://www.thesun.co.uk/sport/18922011/win-watch-7dp/
40,CRUISE HORROR, Brit 'falls overboard on cruise' in Adriatic as desperate search is launched,https://www.thesun.co.uk/news/29788885/brit-cruise-passenger-falls-overboard-adriatic-search-launched/
41,FINAL SPRAY?," Secret code in Banksy artworks reveals artist’s future plans, expert says",https://www.thesun.co.uk/news/29791963/secret-codes-final-spray-banksy-future-plans-details/
42,TOE GOOD, Oodie launches new shoe range and fans rave they are the 'best buy ever',https://www.thesun.co.uk/shopping/fashion-and-beauty/29458907/oodie-launches-new-footwear-range/
43,NOT TIME TO DIE," I loved being in James Bond but how dare they kill me off, says Judi Dench",https://www.thesun.co.uk/tv/29791657/dame-judi-dench-james-bond-killed-off/
44,CLASS ACT," The reason Prince George, 11, won’t be going to secondary school in September",https://www.thesun.co.uk/royals/29781792/prince-george-secondary-school-september-kate-william/
45,BETTER MAN," I abused my teeth for years but now I've got new gnashers, says Robbie Williams",https://www.thesun.co.uk/tvandshowbiz/29792331/robbie-williams-getting-new-teeth/
46,SWIM TRAGEDY, Harrowing moment man disappears underwater before drowning at CrossFit Games,https://www.thesun.co.uk/sport/29793292/tragedy-swimming-man-disappears-underwater-crossfit-games/
47,SPAMALOCK, High street giant forced to lock cheap food item in boxes as shoplifting soars,https://www.thesun.co.uk/money/29794442/tesco-spam-anti-theft-boxes-shoplifting/
48,HITTING IT OFF, Strictly's Pete Wicks & pro Jowita look very close in rehearsal break,https://www.thesun.co.uk/tv/29789699/strictlys-pete-wicks-jowita-przystal-laughing-rehearsals/
49,BIG MOVES, Strictly bosses 'force all dancers to have anti-bullying training' after scandals,https://www.thesun.co.uk/tv/29795991/strictly-bosses-anti-bullying-training/
50,SPLITSVILLE, Towie feud revealed as star unfollows two of show’s cast after split,https://www.thesun.co.uk/tv/29794945/towie-feud-star-unfollows-split/
51,NO WAY!, I’m A Celeb winner reveals he’s turned down Strictly AND Dancing On Ice,https://www.thesun.co.uk/tv/29793318/im-a-celeb-winner-carl-fogarty/
52,WOWIE, Gemma Collins reveals why she’s NOT ALLOWED to return to Towie ,https://www.thesun.co.uk/tv/29787791/gemma-collins-banned-from-towie-return/
53,SAVING SCHEDULE, Easy tips to save up to £12k this year for the best summer ever in 2025,https://www.thesun.co.uk/fabulous/29792599/easy-saving-tips-money-summer-holiday/
54,MYSTIC MEG, The moon inspires a style-centred breakthrough,https://www.thesun.co.uk/fabulous/29776290/horoscope-today-august-10-2024-mystic-meg/
55,FOOD FOR THOUGHT, Mum feeds kids recycled food made from scraps - trolls call her 'gross',https://www.thesun.co.uk/fabulous/29760224/kids-recycled-food-scraps-meals/
56,NO KIDDING, I’m a single mum-of-2 on UC - the job centre nags me but I’m not a benefit cheat,https://www.thesun.co.uk/fabulous/29789552/single-mum-universal-credit-job-centre-childcare-not-scrounger/
57,GOLDEN BOY, Gardeners' World legend gets apple named after him in touching tribute from pals,https://www.thesun.co.uk/fabulous/29770121/gardeners-world-peter-seabrook-apples-competition/
58,CROCODILE DUNDEE, Fishermen stunned after hooking crocodile head out of Scots river,https://www.thesun.co.uk/news/29794428/crocodile-skull-river-tay-dundee-fisherman/
59,RALLY RESPONSE, Donald Trump abruptly stops rally speech to call for doctor in crowd,https://www.thesun.co.uk/news/29797345/donald-trump-plane-delay-montana-rally/
60,MASS EXODUS, Desperate Putin rushes tanks & troops to stop Ukraine invasion as Russians flee,https://www.thesun.co.uk/news/29785727/putin-rushing-tanks-troops-kursk-stop-ukraine-invasion/
61,KILLER'S CONFESSION," Woman, 73, begged husband, 80, not to kill her before he smothered her",https://www.thesun.co.uk/news/29786956/disabled-woman-begged-husband-killed/
62,JURASSIC BACK GARDEN, Dinosaur fan splashes whopping £27k to turn garden into Jurassic Park ,https://www.thesun.co.uk/news/29796503/dinosaur-fan-garden-jurassic-park/
63,BEST CASE, My Antler suitcase is a dream on wheels — and it's £58.50 cheaper with a code,https://www.thesun.co.uk/shopping/29717815/antler-clifton-suitcase-cheaper-summer-sale/
64,COOL OFF, Dyson fan review: I tested the 3-in-1 Dyson Purifier Hot+Cool Formaldehyde,https://www.thesun.co.uk/shopping/product-reviews/29740153/dyson-fan-review/
65,ENDS SOON, Amazon slashes little-known but 'lightning-fast' laptop from £440 to £280,https://www.thesun.co.uk/shopping/29745231/amazon-slashes-acemagic-ax15-laptop-customers-sale/
66,WHEELY EXPENSIVE, Rare Ford Escort RS Cosworth expected to sell for auction record of £100k,https://www.thesun.co.uk/motors/29796706/ultra-rare-yellow-ford-escort-rs-cosworth-auction/
67,GETTING QUIZZY, Half of Brits don't know new Highway Code rules - can you pass our test?,https://www.thesun.co.uk/motors/29790151/new-highway-code-rules-pass-theory-test/
68,LIFE ON WHEELS, Couple live in Renault van & survive on £34 a day - here's how they do it,https://www.thesun.co.uk/motors/29779309/campervan-conversion-australia-travel-saving/
69,EVIL EYE, Drivers warned over light that could knock £500 off your motor's value,https://www.thesun.co.uk/motors/29796301/drivers-warned-light-knock-500-value/
70,DOUBLE," Win a Lamborghini Huracan and Volkswagen T-Roc R plus £5k or £125,000 cash from 49p",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
71,MIX IT UP!, Bianca Censori ditches nearly-naked look to cover up in ripped dress with Kanye,https://www.thesun.co.uk/tvandshowbiz/29797369/bianca-censori-naked-ripped-dress-kanye-west/
72,HUGE HINT, Huge US pop star teases secret London show next week and gives fans phone number,https://www.thesun.co.uk/tvandshowbiz/29794473/halsey-secret-london-show-next-week/
73,CORRIE BLIMEY, Corrie star Brooke Vincent stuns as she strips off to a bikini on holiday,https://www.thesun.co.uk/tv/29700191/brooke-vincent-holiday-maldives-kean-bryan-children/
74,SPELL-BINDING, Harry Potter star unrecognisable 17 years after hit film ,https://www.thesun.co.uk/tvandshowbiz/29694647/harry-potter-star-unrecognisable-reunites-with-co-star/
75,BOP ON," 90s pop icon, 54, hasn’t aged a day in 34 yrs since massive hit as she joins TikTok",https://www.thesun.co.uk/tvandshowbiz/29791856/90s-pop-icon-betty-boo-joins-tiktok/
76,MALE ORDER," 27 Best gifts for men uk 2024, tried and tested",https://www.thesun.co.uk/shopping/25468028/best-gifts-for-men-uk-reviewed/
77,DREAM DUO, 10 best trainers to wear with dresses 2024 UK,https://www.thesun.co.uk/shopping/fashion-and-beauty/21650542/best-trainers-to-wear-with-dresses/
78,PRIME DEALS, When is Amazon Prime Day 2024 and what time will the sale start and finish?,https://www.thesun.co.uk/money/14860748/amazon-prime-day-when-deals/
79,DECISION TIME, Is it time to lock in a low mortgage? Four ways to secure the best deal,https://www.thesun.co.uk/money/29792808/low-mortgage-best-deal-rates/
80,RAIL DEBATE, Mum says her son's been charged £1.2k for using expired £30 railcard for a year,https://www.thesun.co.uk/money/29796797/mum-divides-opinion-charged-expired-railcard-fine-year/
81,PENSION ALERT, Warning for widowers losing thousands due to state pension blunders,https://www.thesun.co.uk/money/29796000/widowers-losing-state-pension-blunders/
82,HOUSE HUNT," I made £8,000 by spotting homes that are empty - it pays for my holidays abroad",https://www.thesun.co.uk/money/29777795/reporting-empty-homes-website-cash-payment/
83,HOUSE THAT, Homebuyers facing huge delays that could cost them £6k extra ahead of deadline,https://www.thesun.co.uk/money/29618833/stamp-duty-deadline-mortgage-2025/
84,YOU CAEN BEAT IT, I've found top EU seaside town - with huge beaches & £14 magnums of rose,https://www.thesun.co.uk/travel/29776262/normandy-seaside-travel-france/
85,PAPH TO PARADISE, I visited country named best place to live - with 5* hotels & blue lagoon,https://www.thesun.co.uk/travel/29776306/paphos-cyprus-lagoon-perfect-holiday/
86,WORTH A KRAK, The EU city nicknamed the 'jewel of Baltics' with £1.50 beers & £29 flights,https://www.thesun.co.uk/travel/29795513/krakow-poland-autumn-travel-beer-baltics/
87,SAD CASE, Brits warned about post-holiday suitcase mistake that could ruin your next trip,https://www.thesun.co.uk/travel/29796253/brits-warned-post-holiday-suitcase-mistake/
88,'UNIQUE LANDMARK', One of oldest UK attractions at 400-years-old is SAVED from closure,https://www.thesun.co.uk/travel/29795759/400-year-old-uk-attraction-worlds-oldest-saved-closure/
89,TRAGIC MISTAKE, Dad died after accidentally pouring washing detergent on his cornflakes ,https://www.thesun.co.uk/health/29781696/dad-dementia-washing-detergent-cornflakes-milk/
90,VIRAL THREAT, First cases of 'sloth' fever Oropouche found in Europe after deaths in Brazil ,https://www.thesun.co.uk/health/29789510/sloth-fever-oropouche-europe-unstoppable-italy/
91,DEVASTATING, Mum's warning as 'healthy' son diagnosed with incurable cancer after sunburn,https://www.thesun.co.uk/health/29777758/mum-warning-teenager-son-incruable-skin-cancer-melanoma/
92,EYE SEE, From thinning brows to floaters - health warnings from your eyes AND eyebrows,https://www.thesun.co.uk/health/29758471/health-warnings-eyes-eyebrows-thinning-floaters-flickering/
93,RISK ALERT, Sweetener sold in UK supermarkets 'may increase your risk of blood clots',https://www.thesun.co.uk/health/29765881/sweetener-erythritol-blood-clots-stroke-heart-attack/
94,ADVANCED WARFARE, Top-secret scientists launch groundbreaking test of killer drones using AI,https://www.thesun.co.uk/tech/29781698/secret-uk-army-drones-ai/
95,COMBAT CANINES, Ukraine will unleash robotic dogs to replace soldiers in front-line missions,https://www.thesun.co.uk/tech/29795038/ukraine-robotic-dogs-russia-soldiers/
96,SWITCH OFF, Final warning to Virgin Media customers as eight channels go off-air TODAY,https://www.thesun.co.uk/tech/29720394/virgin-media-channel-off-air-disappear/
97,MAMMOTH HUNTERS , Ancient skeletons of woolly mammoths found in first EVER hunting traps,https://www.thesun.co.uk/tech/29785316/woolly-mammoth-skeletons-discovered-in-mexico/
98,JUNK FEARS, Reckless Chinese rocket launch leaves huge cloud of dangerous space junk,https://www.thesun.co.uk/tech/29783216/reckless-chinese-rocket-huge-cloud-dangerous-space-junk/
